,daily_cases_Ireland
2020-01-22,
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,1.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,1.0
2020-03-04,4.0
2020-03-05,0.0
2020-03-06,12.0
2020-03-07,0.0
2020-03-08,1.0
2020-03-09,2.0
2020-03-10,13.0
2020-03-11,9.0
2020-03-12,0.0
2020-03-13,47.0
2020-03-14,39.0
2020-03-15,0.0
2020-03-16,40.0
2020-03-17,54.0
2020-03-18,69.0
2020-03-19,265.0
2020-03-20,126.0
2020-03-21,102.0
2020-03-22,121.0
2020-03-23,219.0
2020-03-24,204.0
2020-03-25,235.0
2020-03-26,255.0
2020-03-27,302.0
2020-03-28,294.0
2020-03-29,200.0
2020-03-30,295.0
2020-03-31,325.0
2020-04-01,212.0
2020-04-02,402.0
2020-04-03,424.0
2020-04-04,331.0
2020-04-05,390.0
2020-04-06,370.0
2020-04-07,345.0
2020-04-08,365.0
2020-04-09,500.0
2020-04-10,1515.0
2020-04-11,839.0
2020-04-12,727.0
2020-04-13,992.0
2020-04-14,832.0
2020-04-15,1068.0
2020-04-16,724.0
2020-04-17,709.0
2020-04-18,778.0
2020-04-19,493.0
2020-04-20,401.0
2020-04-21,388.0
2020-04-22,631.0
2020-04-23,936.0
2020-04-24,577.0
2020-04-25,377.0
2020-04-26,701.0
2020-04-27,386.0
2020-04-28,229.0
2020-04-29,376.0
2020-04-30,359.0
2020-05-01,221.0
2020-05-02,343.0
2020-05-03,330.0
2020-05-04,266.0
2020-05-05,211.0
2020-05-06,265.0
2020-05-07,137.0
2020-05-08,156.0
2020-05-09,219.0
2020-05-10,236.0
2020-05-11,139.0
2020-05-12,107.0
2020-05-13,159.0
2020-05-14,426.0
2020-05-15,129.0
2020-05-16,92.0
2020-05-17,64.0
2020-05-18,88.0
2020-05-19,51.0
2020-05-20,64.0
2020-05-21,76.0
2020-05-22,115.0
2020-05-23,76.0
2020-05-24,57.0
2020-05-25,59.0
2020-05-26,37.0
2020-05-27,68.0
2020-05-28,38.0
2020-05-29,35.0
2020-05-30,53.0
2020-05-31,61.0
2020-06-01,72.0
2020-06-02,4.0
2020-06-03,45.0
2020-06-04,31.0
2020-06-05,21.0
2020-06-06,20.0
2020-06-07,18.0
2020-06-08,6.0
2020-06-09,8.0
2020-06-10,16.0
2020-06-11,7.0
2020-06-12,12.0
2020-06-13,45.0
2020-06-14,8.0
2020-06-15,18.0
2020-06-16,13.0
2020-06-17,7.0
2020-06-18,14.0
2020-06-19,13.0
2020-06-20,6.0
2020-06-21,5.0
2020-06-22,4.0
2020-06-23,8.0
2020-06-24,5.0
2020-06-25,9.0
2020-06-26,9.0
2020-06-27,23.0
2020-06-28,2.0
2020-06-29,23.0
2020-06-30,11.0
2020-07-01,4.0
2020-07-02,12.0
2020-07-03,9.0
2020-07-04,11.0
2020-07-05,18.0
2020-07-06,4.0
2020-07-07,7.0
2020-07-08,4.0
2020-07-09,23.0
2020-07-10,24.0
2020-07-11,22.0
2020-07-12,17.0
2020-07-13,10.0
2020-07-14,32.0
2020-07-15,13.0
2020-07-16,15.0
2020-07-17,32.0
2020-07-18,20.0
2020-07-19,10.0
2020-07-20,6.0
2020-07-21,36.0
2020-07-22,17.0
2020-07-23,7.0
2020-07-24,19.0
2020-07-25,24.0
2020-07-26,12.0
2020-07-27,11.0
2020-07-28,37.0
2020-07-29,13.0
2020-07-30,85.0
2020-07-31,38.0
2020-08-01,44.0
2020-08-02,53.0
2020-08-03,46.0
2020-08-04,45.0
2020-08-05,50.0
2020-08-06,69.0
2020-08-07,98.0
2020-08-08,174.0
2020-08-09,68.0
2020-08-10,56.0
2020-08-11,33.0
2020-08-12,37.0
2020-08-13,91.0
2020-08-14,66.0
2020-08-15,196.0
2020-08-16,66.0
2020-08-17,56.0
2020-08-18,186.0
2020-08-19,48.0
2020-08-20,129.0
2020-08-21,79.0
2020-08-22,153.0
2020-08-23,61.0
2020-08-24,147.0
2020-08-25,85.0
2020-08-26,162.0
2020-08-27,90.0
2020-08-28,125.0
2020-08-29,142.0
2020-08-30,40.0
2020-08-31,51.0
2020-09-01,214.0
2020-09-02,89.0
2020-09-03,92.0
2020-09-04,97.0
2020-09-05,231.0
2020-09-06,138.0
2020-09-07,102.0
2020-09-08,306.0
2020-09-09,84.0
2020-09-10,196.0
2020-09-11,211.0
2020-09-12,159.0
2020-09-13,255.0
2020-09-14,207.0
2020-09-15,357.0
2020-09-16,250.0
2020-09-17,224.0
2020-09-18,248.0
2020-09-19,267.0
2020-09-20,395.0
2020-09-21,188.0
2020-09-22,323.0
2020-09-23,231.0
2020-09-24,319.0
2020-09-25,321.0
2020-09-26,245.0
2020-09-27,430.0
2020-09-28,387.0
2020-09-29,363.0
2020-09-30,415.0
2020-10-01,442.0
2020-10-02,466.0
2020-10-03,605.0
2020-10-04,364.0
2020-10-05,517.0
2020-10-06,424.0
2020-10-07,611.0
2020-10-08,502.0
2020-10-09,617.0
2020-10-10,1011.0
2020-10-11,814.0
2020-10-12,823.0
2020-10-13,808.0
2020-10-14,1084.0
2020-10-15,1186.0
2020-10-16,998.0
2020-10-17,1251.0
2020-10-18,1284.0
2020-10-19,1031.0
